,_id,_type,attr
1164,4528.0,Male,Frumpy Hair
1165,4528.0,Male,Frown
1166,4529.0,Male,Eye Mask
1167,4529.0,Male,Frown
1168,4529.0,Male,Top Hat
1169,4530.0,Female,Mohawk
1170,4530.0,Female,Hot Lipstick
1171,4530.0,Female,Cigarette
1172,4531.0,Male,Luxurious Beard
1173,4531.0,Male,Purple Hair
1174,4531.0,Male,Small Shades
1175,4532.0,Male,Vape
1176,4532.0,Male,Knitted Cap
1177,4533.0,Male,Police Cap
1178,4533.0,Male,Goat
1179,4533.0,Male,VR
1180,4534.0,Male,Front Beard
1181,4534.0,Male,Nerd Glasses
1182,4534.0,Male,Knitted Cap
1183,4535.0,Female,Pink With Hat
1184,4535.0,Female,Clown Eyes Green
1185,4536.0,Female,Dark Hair
1186,4536.0,Female,VR
1187,4536.0,Female,Purple Lipstick
1188,4537.0,Female,Cap
1189,4537.0,Female,Hot Lipstick
1190,4537.0,Female,Earring
1191,4538.0,Male,Front Beard
1192,4538.0,Male,Peak Spike
1193,4539.0,Male,Bandana
1194,4539.0,Male,Big Shades
1195,4540.0,Male,Peak Spike
1196,4540.0,Male,Classic Shades
1197,4541.0,Male,Wild Hair
1198,4541.0,Male,Earring
1199,4541.0,Male,Eye Patch
1200,4542.0,Male,Earring
1201,4542.0,Male,Clown Hair Green
1202,4543.0,Male,Frumpy Hair
1203,4543.0,Male,Luxurious Beard
1204,4544.0,Male,Normal Beard Black
1205,4544.0,Male,Crazy Hair
1206,4545.0,Female,Wild White Hair
1207,4545.0,Female,Purple Eye Shadow
1208,4545.0,Female,Hot Lipstick
1209,4546.0,Female,Mole
1210,4546.0,Female,Stringy Hair
1211,4546.0,Female,Earring
1212,4547.0,Female,Bandana
1213,4547.0,Female,Hot Lipstick
1214,4547.0,Female,Earring
1215,4548.0,Female,Red Mohawk
1216,4548.0,Female,Hot Lipstick
1217,4549.0,Male,VR
1218,4549.0,Male,Clown Hair Green
1219,4550.0,Male,Big Shades
1220,4550.0,Male,Mustache
1221,4550.0,Male,Earring
1222,4550.0,Male,Headband
1223,4551.0,Male,Hoodie
1224,4551.0,Male,Goat
1225,4551.0,Male,VR
1226,4552.0,Male,Vape
1227,4552.0,Male,Classic Shades
1228,4552.0,Male,Earring
1229,4552.0,Male,Headband
1230,4553.0,Male,Luxurious Beard
1231,4553.0,Male,Classic Shades
1232,4553.0,Male,Crazy Hair
1233,4554.0,Female,Mole
